SL NO,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short Description,Description,In stock?,Sold individually?,Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Position,Meta: _specifications_display_attributes,Meta: _per_product_admin_commission_type,product-url,image_url,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global,Attribute 13 name,Attribute 13 value(s),Attribute 13 visible,Attribute 13 global,Attribute 14 name,Attribute 14 value(s),Attribute 14 visible,Attribute 14 global,Attribute 15 name,Attribute 15 value(s),Attribute 15 visible,Attribute 15 global,Attribute 16 name,Attribute 16 value(s),Attribute 16 visible,Attribute 16 global,Attribute 17 name,Attribute 17 value(s),Attribute 17 visible,Attribute 17 global,Attribute 18 name,Attribute 18 value(s),Attribute 18 visible,Attribute 18 global,Attribute 19 name,Attribute 19 value(s),Attribute 19 visible,Attribute 19 global,Attribute 20 name,Attribute 20 value(s),Attribute 20 visible,Attribute 20 global,Attribute 21 name,Attribute 21 value(s),Attribute 21 visible,Attribute 21 global,Attribute 22 name,Attribute 22 value(s),Attribute 22 visible,Attribute 22 global,Attribute 23 name,Attribute 23 value(s),Attribute 23 visible,Attribute 23 global,Attribute 24 name,Attribute 24 value(s),Attribute 24 visible,Attribute 24 global
,simple,,"
        220-240 V 1300 Watt High Pressure Washer INGCO Brand    ",1,0,visible,,"Suitable for washing cars and carpets and rugs, windows, floors and ceramic and wards   Make your car clean, motorcycle, in your home without going to the service center Cleans tiles and garden paths and entrances Remove all dirt, which is difficult to be cleaned    Multi-purpose cleaning sprays high-pressure water up to 130 bar Brand: INGCO Model: HP WR13003 Powerful pump strongly 130 bar Ability 1300 watts 220-240 volt electric voltage Copper wire motor Solid engineering and design Flow rate of 5.5 L / min The hose 5 meters long",1,0,1,Thanks for purchasing,"11,875.00","12,500.00","Power Tools,Pressure Washers,Tools and Hardware",,Dhaka Only,"item_XL_22109789_29617679.jpg,item_XL_22109789_29617678-600x600.jpg",0,yes,percentage,https://www.fixit.com.bd/product/220-240-v-1300-watt-high-pressure-washer-ingco-brand/,"https://www.fixit.com.bd/wp-content/uploads/2018/03/item_XL_22109789_29617678-600x600.jpg,https://www.fixit.com.bd/wp-content/uploads/2018/03/item_XL_22109789_29617679.jpg",,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        1 Inch Stainless Steel Angle Bracket    ",1,0,visible,,,1,0,1,Thanks for purchasing,,22.00,"Builders Hardware,Building Materials,Corner Braces",,Dhaka Only,16-761A.jpg,0,yes,percentage,https://www.fixit.com.bd/product/1-inch-stainless-steel-angle-bracket-2/,https://www.fixit.com.bd/wp-content/uploads/2018/01/16-761A.jpg,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        Black Color Safety Goggles HMBR Brand    ",1,0,visible,,,1,0,1,Thanks for purchasing,,120.00,"Safety Gear,Safety Gear and Equipment,Tools and Hardware",,Dhaka Only,27-045-600x600.jpg,0,yes,percentage,https://www.fixit.com.bd/product/black-color-safety-goggles-hmbr-brand/,https://www.fixit.com.bd/wp-content/uploads/2018/01/27-045-600x600.jpg,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        60 Watt Soldering Gun Wynn’s Brand    ",1,0,visible,,,1,0,1,Thanks for purchasing,630.00,663.00,"Soldering,Tools and Hardware,Welding & Soldering",,Dhaka Only,01-957-web-600x600.jpg,0,yes,percentage,https://www.fixit.com.bd/product/60-watt-soldering-gun-wynns-brand/,https://www.fixit.com.bd/wp-content/uploads/2018/01/01-957-web-600x600.jpg,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        300mm Back Saw HMBR Brand    ",1,0,visible,,,1,0,1,Thanks for purchasing,,114.00,"Hand Saws and Cutting Tools,Hand Tools,Tools and Hardware",,Dhaka Only,073-1591-Back-Saw-300mm-FH11-600x600.png,0,yes,percentage,https://www.fixit.com.bd/product/300mm-back-saw-hmbr-brand/,https://www.fixit.com.bd/wp-content/uploads/2018/01/073-1591-Back-Saw-300mm-FH11-600x600.png,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        6 Inch Two way Iron Hook for Rope Hoisting & Fastening M6    ",1,0,visible,,,1,0,1,Thanks for purchasing,62.00,65.00,"Anchors,Screws, Nails and Anchors,Tools and Hardware",,Dhaka Only,16-927A.jpg,0,yes,percentage,https://www.fixit.com.bd/product/6-inch-two-way-iron-hook-for-rope-hoisting-fastening-m6/,https://www.fixit.com.bd/wp-content/uploads/2018/01/16-927A.jpg,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        1 Liter Damp Crush HMBR Brand for Removing Salination in Bricks to avoid Mold Formation    ",1,0,visible,,,1,0,1,Thanks for purchasing,,120.00,"Building Materials,Desalination agent,Wall Cleaner Supplies",,Dhaka Only,24-001-web-600x600.jpg,0,yes,percentage,https://www.fixit.com.bd/product/1-liter-damp-crush-hmbr-brand-for-removing-salination-in-bricks-to-avoid-mold-formation-2/,https://www.fixit.com.bd/wp-content/uploads/2018/01/24-001-web-600x600.jpg,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        300kg Hand Trolley Folding Truck Cart Heavy Duty Flat Bed Transport    ",1,0,visible,,,1,0,1,Thanks for purchasing,,"8,075.00","Building Materials,Industrial Trolley",,Dhaka Only,"trolley1.jpg,Heavy-Duty-Folding-300kg-Platform-Trolley-600x600.jpg",0,yes,percentage,https://www.fixit.com.bd/product/300kg-hand-trolley-folding-truck-cart-heavy-duty-flat-bed-transport-2/,"https://www.fixit.com.bd/wp-content/uploads/2018/02/Heavy-Duty-Folding-300kg-Platform-Trolley-600x600.jpg,https://www.fixit.com.bd/wp-content/uploads/2017/11/trolley1.jpg",,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        19mm Stainless Steel Combination Wrench Maxtop Brand    ",1,0,visible,,,1,0,1,Thanks for purchasing,,105.00,"Hand Tools,Tools and Hardware,Wrenches",,Dhaka Only,"04-184C.jpg,04-184B.jpg,04-184A.jpg",0,yes,percentage,https://www.fixit.com.bd/product/19mm-stainless-steel-combination-wrench-maxtop-brand/,"https://www.fixit.com.bd/wp-content/uploads/2018/01/04-184A.jpg,https://www.fixit.com.bd/wp-content/uploads/2018/01/04-184B.jpg,https://www.fixit.com.bd/wp-content/uploads/2018/01/04-184C.jpg",,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
,simple,,"
        8 Inch Black and Orange Color Rubber Handle Heavy Duty Combination Plier HMBR Brand    ",1,0,visible,,,1,0,1,Thanks for purchasing,,190.00,"Hand Tools,Pliers,Tools and Hardware",,Dhaka Only,"14-276-600x600.jpg,14-276-A-600x600.jpg",0,yes,percentage,https://www.fixit.com.bd/product/8-inch-black-and-orange-color-rubber-handle-heavy-duty-combination-plier-hmbr-brand/,"https://www.fixit.com.bd/wp-content/uploads/2019/02/14-276-600x600.jpg,https://www.fixit.com.bd/wp-content/uploads/2019/02/14-276-A-600x600.jpg",,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1,,,1,1
